SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
1,2,16.2,1.9,323,375,4,3,2,1,2.5,27.8,2.17,2.52,8.19,3.1
2,2,13.8,2,298,373,1,2,3,1,3,44.1,1.8,2.54,8.43,4
2,1,15.3,1.3,377,279,2,2,2,1,3,43.5,0.93,1.58,6.09,2.2
2,2,16.8,5,425,372,1,1,2,0,3,48,1.89,1.22,9.11,5.2
2,1,17.5,3.4,396,279,3,2,2,1,3.5,51.3,0.93,1.58,6.09,3.3
2,1,24,4.4,425,372,1,1,1,0,3,64.6,1.89,1.22,9.11,4.6
2,1,15.2,3.6,462,371,4,5,4,1,2.5,33.4,0.72,1.49,9.77,4.2
2,2,25.9,3.66,325,349,1,3,2,0,3,38.7,1.18,1.52,10.82,5.012
2,1,18.2,2.8,305,388,1,4,2,2,3.5,39.4,1.02,0.84,11.96,6.6
2,2,14.4,1.4,321,360,1,4,2,1,3.5,21.2,0.96,2.13,9.32,3.2
2,1,16.5,3.1,376,279,3,3,2,1,3.5,51.3,0.93,1.58,6.09,3.1
2,2,20.5,2.71,276,373,1,2,2,1,4,53,1.76,2.76,11.06,4.3
2,2,15,2.2,298,373,2,3,2,1,4,59.1,1.8,2.54,8.43,4.4
2,2,16.3,4.3,466,371,1,5,3,1,3,36,0.72,1.49,9.77,5.6
2,2,27.5,4.9,343,348,2,4,2,0,3,39.5,1.42,1.05,11.78,5.8
2,1,14.5,4,367,355,2,4,2,0,3,32.2,1.34,1.83,8.27,3.2
2,2,17.1,2.45,318,362,1,4,2,2,3,39,0.93,1.04,10.75,6.2542
2,2,15.1,2.6,393,270,1,2,3,0,2.5,36.8,0.96,1.18,6.14,3.1
2,1,17.4,1.8,329,372,1,3,2,1,3.5,30.2,0.96,2.13,9.32,3.3
2,2,16.4,2.6,299,300,1,2,2,0,2.5,39.6,1.69,0.81,9.98,2.7
1,2,15.1,2.8,308,364,1,4,3,2,3.5,44.4,1.15,0.98,11.57,6.1
2,2,15.1,3.1,330,351,3,3,3,1,3,38,2.1,2.15,8.28,4.4
2,2,14.1,2.4,313,343,2,4,2,0,3,42.1,1.98,1.28,9.8,4.9
